##Thermal_diffusivity

##General_information
#Database,set3.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 3
#Date,2022-12-12
#Material,03 - A
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,03
#Type,#Single_layer
#Sample position,A
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.5900
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
#Mean,980.0,,6.733,,,,,,,
#Std_Dev,0.0,,0.012,,,,,,,
148,1000.0,Standard + p.c.(l),6.673,0.9,250.0,0.60,51.9,6.751,1089206.3,1.893
149,1000.0,Standard + p.c.(l),6.719,0.9,250.0,0.60,51.6,6.876,1089206.3,1.876
150,1000.0,Standard + p.c.(l),6.728,0.9,250.0,0.60,51.4,6.85,1089206.3,1.895
#Mean,1000.0,,6.707,,,,,,,
#Std_Dev,0.0,,0.029,,,,,,,
151,1020.0,Standard + p.c.(l),6.680,0.9,250.0,0.60,51.8,6.917,1089206.3,1.906
152,1020.0,Standard + p.c.(l),6.717,0.9,250.0,0.60,51.4,6.959,1089206.3,2.08
153,1020.0,Standard + p.c.(l),6.712,0.9,250.0,0.60,51.5,7.029,1089206.3,2.051
#Mean,1020.0,,6.703,,,,,,,
#Std_Dev,0.0,,0.020,,,,,,,
154,1040.0,Standard + p.c.(l),6.687,0.9,250.0,0.60,51.7,7.112,1089206.3,2.04
155,1040.0,Standard + p.c.(l),6.718,0.9,250.0,0.60,51.5,7.148,1089206.3,1.892
156,1040.0,Standard + p.c.(l),6.699,0.9,250.0,0.60,51.7,6.29,946523.7,2.06
#Mean,1040.0,,6.701,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
157,1060.0,Standard + p.c.(l),6.722,0.9,250.0,0.60,51.4,6.413,946523.7,2.039
158,1060.0,Standard + p.c.(l),6.743,0.9,250.0,0.60,51.3,6.309,946523.7,1.894
159,1060.0,Standard + p.c.(l),6.715,0.9,250.0,0.60,51.4,6.391,946523.7,2.053
#Mean,1060.0,,6.727,,,,,,,
#Std_Dev,0.0,,0.015,,,,,,,
160,1080.0,Standard + p.c.(l),6.673,0.9,250.0,0.60,51.8,6.434,946523.7,1.896
161,1080.0,Standard + p.c.(l),6.717,0.9,250.0,0.60,51.4,6.497,946523.7,1.898
162,1080.0,Standard + p.c.(l),6.703,0.9,250.0,0.60,51.4,6.526,946523.7,2.08
#Mean,1080.0,,6.697,,,,,,,
#Std_Dev,0.0,,0.022,,,,,,,
163,1100.0,Standard + p.c.(l),6.683,0.8,250.0,0.60,51.5,6.529,946523.7,2.083
164,1100.0,Standard + p.c.(l),6.699,0.9,250.0,0.60,51.3,6.566,946523.7,2.057
165,1100.0,Standard + p.c.(l),6.702,0.9,250.0,0.60,51.2,6.587,946523.7,1.892
#Mean,1100.0,,6.695,,,,,,,
#Std_Dev,0.0,,0.010,,,,,,,
166,1120.0,Standard + p.c.(l),6.674,0.8,250.0,0.60,51.5,6.546,946523.7,1.885
167,1120.0,Standard + p.c.(l),6.720,0.9,250.0,0.60,51.1,6.639,946523.7,2.043
168,1120.0,Standard + p.c.(l),6.699,0.9,250.0,0.60,51.2,6.588,946523.7,1.893
#Mean,1120.0,,6.698,,,,,,,
#Std_Dev,0.0,,0.023,,,,,,,
169,1140.0,Standard + p.c.(l),6.685,0.8,250.0,0.60,51.2,6.719,946523.7,2.065
170,1140.0,Standard + p.c.(l),6.723,0.8,250.0,0.60,51.0,6.754,946523.7,2.048
171,1140.0,Standard + p.c.(l),6.708,0.8,250.0,0.60,51.1,6.731,946523.7,1.883
#Mean,1140.0,,6.705,,,,,,,
#Std_Dev,0.0,,0.019,,,,,,,
172,1160.0,Standard + p.c.(l),6.641,0.8,250.0,0.60,51.5,6.711,946523.7,1.913
173,1160.0,Standard + p.c.(l),6.718,0.8,250.0,0.60,50.9,6.808,946523.7,2.045
174,1160.0,Standard + p.c.(l),6.723,0.8,250.0,0.60,50.9,6.806,946523.7,1.908
#Mean,1160.0,,6.694,,,,,,,
#Std_Dev,0.0,,0.046,,,,,,,
175,1180.0,Standard + p.c.(l),6.654,0.8,250.0,0.60,51.2,6.885,946523.7,2.084
