##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,01 - D
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,01
#Type,#Single_layer
#Sample position,D
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,1.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
147,980.0,Standard + p.c.(l),4.431,0.2,250.0,0.60,113.3,7.358,1425652.5,1.902
#Mean,980.0,,4.445,,,,,,,
#Std_Dev,0.0,,0.018,,,,,,,
148,1000.0,Standard + p.c.(l),4.449,0.3,250.0,0.60,113.0,7.525,1425652.5,2.053
149,1000.0,Standard + p.c.(l),4.430,0.2,250.0,0.60,113.1,7.484,1425652.5,2.077
150,1000.0,Standard + p.c.(l),4.421,0.2,250.0,0.60,113.5,7.527,1425652.5,1.879
#Mean,1000.0,,4.433,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
151,1020.0,Standard + p.c.(l),4.444,0.2,250.0,0.60,112.8,7.649,1425652.5,2.128
152,1020.0,Standard + p.c.(l),4.424,0.2,250.0,0.60,113.3,7.498,1425652.5,1.899
153,1020.0,Standard + p.c.(l),4.413,0.2,250.0,0.60,113.5,7.568,1425652.5,2.118
#Mean,1020.0,,4.427,,,,,,,
#Std_Dev,0.0,,0.016,,,,,,,
154,1040.0,Standard + p.c.(l),4.441,0.2,250.0,0.60,112.6,7.712,1425652.5,2.06
155,1040.0,Standard + p.c.(l),4.426,0.2,250.0,0.60,113.1,7.732,1425652.5,2.058
156,1040.0,Standard + p.c.(l),4.426,0.2,250.0,0.60,113.1,7.686,1425652.5,2.072
#Mean,1040.0,,4.431,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
157,1060.0,Standard + p.c.(l),4.420,0.2,250.0,0.60,112.9,7.917,1425652.5,2.098
158,1060.0,Standard + p.c.(l),4.427,0.2,250.0,0.60,113.0,7.858,1425652.5,2.104
159,1060.0,Standard + p.c.(l),4.415,0.2,250.0,0.60,113.2,7.82,1425652.5,1.9
#Mean,1060.0,,4.421,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
160,1080.0,Standard + p.c.(l),4.402,0.2,250.0,0.60,113.0,7.969,1425652.5,1.891
161,1080.0,Standard + p.c.(l),4.418,0.2,250.0,0.60,113.2,8.005,1425652.5,2.053
162,1080.0,Standard + p.c.(l),4.429,0.2,250.0,0.60,112.9,6.82,1222267.1,2.139
#Mean,1080.0,,4.416,,,,,,,
#Std_Dev,0.0,,0.014,,,,,,,
163,1100.0,Standard + p.c.(l),4.409,0.2,250.0,0.60,113.1,6.941,1222267.1,1.909
164,1100.0,Standard + p.c.(l),4.411,0.2,250.0,0.60,112.8,7.092,1222267.1,2.047
165,1100.0,Standard + p.c.(l),4.425,0.2,250.0,0.60,113.0,6.988,1222267.1,1.91
#Mean,1100.0,,4.415,,,,,,,
#Std_Dev,0.0,,0.009,,,,,,,
166,1120.0,Standard + p.c.(l),4.414,0.2,250.0,0.60,112.6,7.046,1222267.1,2.024
167,1120.0,Standard + p.c.(l),4.435,0.2,250.0,0.60,113.1,7.057,1222267.1,1.892
168,1120.0,Standard + p.c.(l),4.421,0.2,250.0,0.60,112.4,7.008,1222267.1,2.101
#Mean,1120.0,,4.424,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
169,1140.0,Standard + p.c.(l),4.453,0.2,250.0,0.60,111.6,7.224,1222267.1,2.068
170,1140.0,Standard + p.c.(l),4.446,0.2,250.0,0.60,112.0,7.155,1222267.1,2.076
171,1140.0,Standard + p.c.(l),4.431,0.2,250.0,0.60,112.2,7.121,1222267.1,2.091
#Mean,1140.0,,4.443,,,,,,,
#Std_Dev,0.0,,0.011,,,,,,,
172,1160.0,Standard + p.c.(l),4.453,0.2,250.0,0.60,110.9,7.437,1222267.1,1.901
173,1160.0,Standard + p.c.(l),4.454,0.2,250.0,0.60,111.6,7.423,1222267.1,1.916
174,1160.0,Standard + p.c.(l),4.443,0.2,250.0,0.60,111.3,7.389,1222267.1,1.898
#Mean,1160.0,,4.450,,,,,,,
#Std_Dev,0.0,,0.006,,,,,,,
