##Thermal_diffusivity

##General_information
#Database,set2.mdb
#Instrument,#LFA_467
#Identity,graphite putty set 2
#Date,2022-12-09
#Material,7 - B
#Ref_temperature /�C,20.0
#Ref_density /(g/cm^3),1.000
#Sample,7
#Type,#Single_layer
#Sample position,B
#Spotsize,2.8
#Filter,0
#Thickness_RT/mm,2.9600
#Diameter/mm,9.800
#Sensor,InSb (HT)
#Operator,MJA
#Remark_mment,---
#Cp_table,Cp_const
#Expansion_table,dL_const
#CalcCode,Standard + p.c./l/0-0-0
#MFC_Purge2_Gas,ARGON
#MFC_Protective_Gas,ARGON
,

##Results
#Shot_number,#Temperature/C,#Model,#Diffusivity/(mm^2/s),#Uncertainty/%,#Laser_voltage/V,#Pulse_width/ms,#Half_time,#T_Infin,#Ampl_gain,#Pulse_integr
165,1100.0,Standard + p.c.(l),3.378,0.2,250.0,0.60,318.6,8.54,2234187.0,1.892
#Mean,1100.0,,3.336,,,,,,,
#Std_Dev,0.0,,0.045,,,,,,,
166,1120.0,Standard + p.c.(l),3.378,0.2,250.0,0.60,316.3,8.614,2234187.0,1.911
167,1120.0,Standard + p.c.(l),3.442,0.2,250.0,0.60,311.7,8.721,2234187.0,2.101
168,1120.0,Standard + p.c.(l),3.441,0.2,250.0,0.60,312.9,8.785,2234187.0,2.067
#Mean,1120.0,,3.420,,,,,,,
#Std_Dev,0.0,,0.037,,,,,,,
169,1140.0,Standard + p.c.(l),3.427,0.1,250.0,0.60,311.3,8.649,2234187.0,2.133
170,1140.0,Standard + p.c.(l),3.493,0.2,250.0,0.60,308.2,8.947,2234187.0,1.923
171,1140.0,Standard + p.c.(l),3.503,0.2,250.0,0.60,306.9,7.72,1928170.4,1.911
#Mean,1140.0,,3.474,,,,,,,
#Std_Dev,0.0,,0.041,,,,,,,
172,1160.0,Standard + p.c.(l),3.428,0.2,250.0,0.60,310.0,7.701,1928170.4,1.906
173,1160.0,Standard + p.c.(l),3.530,0.1,250.0,0.60,304.1,7.892,1928170.4,1.944
174,1160.0,Standard + p.c.(l),3.572,0.2,250.0,0.60,302.0,7.84,1928170.4,1.915
#Mean,1160.0,,3.510,,,,,,,
#Std_Dev,0.0,,0.074,,,,,,,
